epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.3816,1.21426,0.9242,1.10294,0.76149,0.6917,0.71643,0.48046,1.22793,0.85471,1.14165,0.00066,0.00066,0.00066
2,124.863,1.15905,0.61353,1.07257,0.8474,0.89934,0.87339,0.59957,1.08266,0.6077,1.06695,0.00128289,0.00128289,0.00128289
3,187.725,1.15626,0.6008,1.07494,0.94144,0.94775,0.97224,0.68386,1.08303,0.5366,1.07369,0.00186177,0.00186177,0.00186177
4,250.03,1.12854,0.59184,1.06604,0.87871,0.78921,0.884,0.58948,1.20065,0.81443,1.14886,0.001802,0.001802,0.001802
5,312.229,1.11619,0.56654,1.05811,0.91531,0.86932,0.93524,0.60544,1.21888,0.6349,1.17753,0.001736,0.001736,0.001736
6,374.595,1.10578,0.55634,1.05989,0.95483,0.9519,0.97951,0.69311,1.0597,0.48871,1.06414,0.00167,0.00167,0.00167
7,437.188,1.07538,0.53819,1.04234,0.9593,0.9541,0.98152,0.69249,1.03294,0.48948,1.06059,0.001604,0.001604,0.001604
8,499.524,1.07481,0.5319,1.04404,0.95079,0.90815,0.9586,0.6688,1.08321,0.53238,1.09007,0.001538,0.001538,0.001538
9,561.969,1.0667,0.51958,1.03875,0.97374,0.97118,0.98531,0.72208,1.00499,0.42962,1.03522,0.001472,0.001472,0.001472
10,624.486,1.05998,0.52272,1.03684,0.9635,0.96042,0.97817,0.67556,1.15239,0.48212,1.07109,0.001406,0.001406,0.001406
11,687.064,1.07015,0.51794,1.03969,0.94205,0.86019,0.93081,0.65471,1.09065,0.64517,1.0741,0.00134,0.00134,0.00134
12,749.527,1.05334,0.50646,1.03178,0.95874,0.94573,0.97742,0.70597,1.03765,0.46684,1.05453,0.001274,0.001274,0.001274
13,811.884,1.04405,0.49628,1.02611,0.96644,0.9559,0.98314,0.70677,1.03251,0.44595,1.05681,0.001208,0.001208,0.001208
14,874.312,1.0378,0.49657,1.02727,0.9693,0.96331,0.98352,0.71224,1.02408,0.43072,1.04678,0.001142,0.001142,0.001142
15,936.489,1.03212,0.4898,1.02155,0.94735,0.88531,0.94683,0.67246,1.05544,0.56456,1.07884,0.001076,0.001076,0.001076
16,998.644,1.0262,0.48499,1.01754,0.97499,0.97433,0.98694,0.72753,0.98638,0.40485,1.02771,0.00101,0.00101,0.00101
17,1060.92,1.01755,0.47887,1.01602,0.97895,0.97498,0.98728,0.73167,0.99574,0.39809,1.02749,0.000944,0.000944,0.000944
18,1123.48,1.01325,0.47662,1.01599,0.97987,0.97194,0.9882,0.73185,0.97012,0.39533,1.02556,0.000878,0.000878,0.000878
19,1185.81,1.00775,0.47035,1.01406,0.98044,0.97596,0.98842,0.737,0.96167,0.39016,1.02045,0.000812,0.000812,0.000812
20,1248.19,1.00111,0.4648,1.01444,0.97845,0.9727,0.98691,0.73262,0.98482,0.39559,1.01377,0.000746,0.000746,0.000746
21,1308.62,0.98184,0.42328,1.02271,0.97048,0.96355,0.98484,0.70971,1.05343,0.41839,1.05651,0.00068,0.00068,0.00068
22,1368.12,0.98115,0.42208,1.02035,0.98227,0.97639,0.98891,0.73308,0.98006,0.38437,1.03169,0.000614,0.000614,0.000614
23,1427.32,0.98231,0.422,1.02412,0.97051,0.96688,0.98563,0.71571,0.99921,0.40756,1.0425,0.000548,0.000548,0.000548
24,1486.71,0.97366,0.41592,1.02394,0.97719,0.97439,0.98777,0.73092,0.97826,0.39085,1.01853,0.000482,0.000482,0.000482
25,1546.04,0.96576,0.40601,1.01046,0.98156,0.97678,0.98842,0.73894,0.98361,0.38135,1.00932,0.000416,0.000416,0.000416
26,1605.35,0.96155,0.4026,1.01422,0.98187,0.97716,0.98806,0.7407,0.96499,0.37254,1.01511,0.00035,0.00035,0.00035
27,1664.88,0.95538,0.4008,1.01238,0.98074,0.97762,0.98903,0.7394,0.96307,0.36945,1.01771,0.000284,0.000284,0.000284
28,1724.17,0.94195,0.39025,1.00849,0.98197,0.97781,0.98835,0.74441,0.96715,0.36473,1.01381,0.000218,0.000218,0.000218
29,1783.79,0.93411,0.38518,1.00076,0.98015,0.98002,0.98818,0.73681,0.9976,0.37039,1.01685,0.000152,0.000152,0.000152
30,1843.13,0.92817,0.3808,0.9962,0.98284,0.97807,0.98863,0.74713,0.9571,0.35756,1.00981,8.6e-05,8.6e-05,8.6e-05
